,0
multiple_deliveries,0.15692396
traffic_ordinal,0.14294156
Delivery_person_Ratings,0.12559083
Vehicle_condition,0.112227224
is_festival,0.1074102
distance_traffic_interaction,0.09720032
Delivery_person_Age,0.058300763
City_Semi-Urban,0.042937677
bad_weather,0.030395962
City_Urban,0.028950544
distance_km,0.02455481
Type_of_vehicle_motorcycle,0.017401226
order_hour,0.010777351
Type_of_vehicle_scooter,0.007142587
Type_of_vehicle_electric_scooter,0.0050089
is_rush_hour,0.004893665
is_weekend,0.0047051786
prep_time_min,0.004694882
order_dow,0.0046627237
Type_of_order_Drinks,0.004546237
Type_of_order_Snack,0.004477784
Type_of_order_Meal,0.004255648
